     Node_label    Um  U1   U2   U3
          150390     284.177E-06     49.6541E-06    -80.3665E-18     279.805E-06
          150391     274.183E-06     52.5400E-06    -80.3665E-18     269.102E-06
          150392     263.369E-06     50.3765E-06    -80.3665E-18     258.507E-06
          150393     253.070E-06     53.5613E-06    -80.3665E-18     247.337E-06
          150394     242.200E-06     51.2902E-06    -80.3665E-18     236.707E-06
          150395     412.037E-06    -3.70120E-06    -80.3665E-18     412.020E-06
          150396     410.818E-06    -8.02271E-06    -80.3665E-18     410.739E-06
          150397     409.743E-06    -11.0492E-06    -80.3665E-18     409.594E-06
          150398     407.179E-06    -16.0045E-06    -80.3665E-18     406.864E-06
          150399     404.634E-06    -18.2883E-06    -80.3665E-18     404.221E-06
          150400     401.003E-06    -23.6464E-06    -80.3665E-18     400.305E-06
          150401     397.277E-06    -25.2419E-06    -80.3665E-18     396.475E-06
          150402     392.585E-06    -30.9231E-06    -80.3665E-18     391.365E-06
          150403     387.651E-06    -31.8299E-06    -80.3665E-18     386.342E-06
          150404     382.076E-06    -37.6577E-06    -80.3665E-18     380.216E-06
          150405     376.026E-06    -37.8582E-06    -80.3665E-18     374.115E-06
          150406     369.657E-06    -43.4387E-06    -80.3665E-18     367.096E-06
          150407     362.612E-06    -43.0771E-06    -80.3665E-18     360.045E-06
          150408     355.578E-06    -48.3357E-06    -80.3665E-18     352.278E-06
          150409     347.735E-06    -47.7726E-06    -80.3665E-18     344.437E-06
          150410     340.146E-06    -52.9217E-06    -80.3665E-18     336.004E-06
          150411     331.606E-06    -52.5863E-06    -80.3665E-18     327.410E-06
          150412     323.533E-06    -57.2903E-06    -80.3665E-18     318.421E-06
          150413     314.239E-06    -56.3953E-06    -80.3665E-18     309.137E-06
          150414     305.651E-06    -60.4683E-06    -80.3665E-18     299.610E-06
          150415     295.854E-06    -59.2525E-06    -80.3665E-18     289.860E-06
          150416     286.997E-06    -62.9124E-06    -80.3665E-18     280.016E-06
          150417     276.814E-06    -61.2033E-06    -80.3665E-18     269.963E-06
          150418     267.804E-06    -64.3282E-06    -80.3665E-18     259.963E-06
          150419     257.495E-06    -62.4082E-06    -80.3665E-18     249.817E-06
          150420     248.681E-06    -65.6347E-06    -80.3665E-18     239.863E-06
          150421     238.218E-06    -63.3579E-06    -80.3665E-18     229.638E-06
          150422     267.672E-06    -6.05343E-06    -80.3665E-18     267.603E-06
          150423     267.407E-06    -11.4567E-06    -80.3665E-18     267.162E-06
          150424     266.702E-06    -18.0870E-06    -80.3665E-18     266.088E-06
          150425     265.951E-06    -22.7003E-06    -80.3665E-18     264.981E-06
          150426     264.964E-06    -29.8488E-06    -80.3665E-18     263.277E-06
          150427     263.626E-06    -33.7791E-06    -80.3665E-18     261.453E-06
          150428     262.319E-06    -41.2716E-06    -80.3665E-18     259.052E-06
          150429     260.390E-06    -44.4821E-06    -80.3665E-18     256.562E-06
          150430     258.850E-06    -52.2098E-06    -80.3665E-18     253.530E-06
          150431     256.304E-06    -54.7765E-06    -80.3665E-18     250.382E-06
          150432     254.588E-06    -62.6675E-06    -80.3665E-18     246.754E-06
          150433     251.511E-06    -64.9059E-06    -80.3665E-18     242.991E-06
          150434     249.649E-06    -72.7458E-06    -80.3665E-18     238.815E-06
          150435     246.082E-06    -74.6698E-06    -80.3665E-18     234.480E-06
          150436     244.002E-06    -82.0519E-06    -80.3665E-18     229.792E-06
          150437     239.918E-06    -83.4107E-06    -80.3665E-18     224.952E-06
          150438     237.497E-06    -89.8647E-06    -80.3665E-18     219.838E-06
          150439     233.041E-06    -90.9479E-06    -80.3665E-18     214.561E-06
          150440     230.607E-06    -97.2125E-06    -80.3665E-18     209.116E-06
          150441     225.938E-06    -98.1468E-06    -80.3665E-18     203.507E-06
          150442     223.408E-06    -103.936E-06    -80.3665E-18     197.759E-06
          150443     218.458E-06    -104.483E-06    -80.3665E-18     191.852E-06
          150444     215.954E-06    -109.967E-06    -80.3665E-18     185.859E-06
          150445     210.840E-06    -110.257E-06    -80.3665E-18     179.713E-06
          150446     208.259E-06    -115.179E-06    -80.3665E-18     173.510E-06
          150447     202.681E-06    -114.624E-06    -80.3665E-18     167.155E-06
          150448     200.183E-06    -119.183E-06    -80.3665E-18     160.838E-06
          150449     530.902E-06     518.311E-06    -80.3665E-18     114.937E-06
          150450     602.974E-06     592.929E-06    -80.3665E-18     109.602E-06
          150451     681.629E-06     672.715E-06    -80.3665E-18     109.877E-06
          150452     768.125E-06     760.720E-06    -80.3665E-18     106.407E-06
          150453     861.769E-06     854.671E-06    -80.3665E-18     110.376E-06
          150454     963.996E-06     957.522E-06    -80.3665E-18     111.534E-06
          150455     1.07122E-03     1.06465E-03    -80.3665E-18     118.465E-06
          150456     1.18422E-03     1.17806E-03    -80.3665E-18     120.715E-06
          150457     1.30136E-03     1.29502E-03    -80.3665E-18     128.374E-06
          150458     1.42603E-03     1.42007E-03    -4.07717E-15     130.221E-06
          150459     569.630E-06     555.277E-06    -80.3665E-18     127.067E-06
          150460     648.511E-06     636.551E-06    -80.3665E-18     123.975E-06
          150461     737.837E-06     728.541E-06    -80.3665E-18     116.753E-06
          150462     834.679E-06     826.575E-06    -80.3665E-18     116.031E-06
          150463     939.115E-06     932.711E-06    -80.3665E-18     109.485E-06
          150464     1.04780E-03     1.04242E-03    -80.3665E-18     106.098E-06
          150465     1.16535E-03     1.16140E-03    -80.3665E-18     95.8327E-06
          150466     1.28646E-03     1.28331E-03    -80.3665E-18     89.9679E-06
          150467     1.41700E-03     1.41484E-03    -23.1730E-15     78.2389E-06
          150468     1.55102E-03     1.54933E-03     3.47235E-15     72.3899E-06
          150469     594.836E-06     578.401E-06    -80.3665E-18     138.863E-06
          150470     682.360E-06     670.200E-06    -80.3665E-18     128.247E-06
          150471     775.057E-06     765.224E-06    -80.3665E-18     123.065E-06
          150472     877.657E-06     870.846E-06    -80.3665E-18     109.135E-06
          150473     983.342E-06     978.425E-06    -80.3665E-18     98.2133E-06
          150474     1.10009E-03     1.09714E-03    -80.3665E-18     80.4749E-06
          150475     1.21967E-03     1.21786E-03    -80.3665E-18     66.4769E-06
          150476     1.35220E-03     1.35145E-03    -80.3665E-18     44.9495E-06
          150477     1.48668E-03     1.48643E-03    -39.1602E-15     27.5783E-06
          150478     1.63498E-03     1.63498E-03     363.723E-18     2.37813E-06
          150479     614.834E-06     598.322E-06    -80.3665E-18     141.534E-06
          150480     701.036E-06     688.239E-06    -80.3665E-18     133.337E-06
          150481     799.358E-06     790.949E-06    -80.3665E-18     115.639E-06
          150482     898.863E-06     893.065E-06    -80.3665E-18     101.928E-06
          150483     1.01299E-03     1.00985E-03    -80.3665E-18     79.7027E-06
          150484     1.12762E-03     1.12600E-03    -80.3665E-18     60.3462E-06
          150485     1.25808E-03     1.25765E-03    -80.3665E-18     32.5634E-06
          150486     1.38832E-03     1.38830E-03    -80.3665E-18     8.24573E-06
          150487     1.53635E-03     1.53615E-03    -125.314E-15    -24.8875E-06
          150488     1.68343E-03     1.68259E-03    -3.18899E-15    -53.1955E-06
          150489     1.74905E-03     1.74225E-03     3.47235E-15    -154.054E-06
          150490     1.59532E-03     1.59155E-03    -4.07717E-15    -109.534E-06
          150491     1.43536E-03     1.43406E-03    -1.41263E-15    -61.0590E-06
          150492     1.30100E-03     1.30079E-03    -80.3665E-18    -23.2943E-06
          150493     1.16135E-03     1.16122E-03    -80.3665E-18     17.3737E-06
          150494     1.04472E-03     1.04363E-03    -80.3665E-18     47.6598E-06
          150495     924.344E-06     920.830E-06    -80.3665E-18     80.5168E-06
          150496     823.980E-06     817.505E-06    -80.3665E-18     103.091E-06
          150497     721.738E-06     710.205E-06    -80.3665E-18     128.505E-06
          150498     636.273E-06     619.753E-06    -80.3665E-18     144.045E-06
          150499     1.61262E-03     1.60510E-03    -7.62988E-15    -155.640E-06
          150500     1.46492E-03     1.46108E-03    -1.41263E-15    -105.989E-06
          150501     1.31069E-03     1.30959E-03    -80.3665E-18    -53.6400E-06
          150502     1.18286E-03     1.18280E-03    -80.3665E-18    -12.4469E-06
          150503     1.05001E-03     1.04956E-03    -80.3665E-18     30.5605E-06
          150504     940.249E-06     938.156E-06    -80.3665E-18     62.7134E-06
          150505     827.451E-06     821.780E-06    -80.3665E-18     96.7121E-06
          150506     734.025E-06     724.090E-06    -80.3665E-18     120.363E-06
          150507     640.124E-06     623.324E-06    -80.3665E-18     145.692E-06
          150508     1.64593E-03     1.63192E-03    -21.3966E-15    -214.280E-06
          150509     1.47526E-03     1.46781E-03    -18.2880E-15    -148.149E-06
          150510     1.33418E-03     1.33084E-03    -80.3665E-18    -94.3378E-06
          150511     1.18724E-03     1.18659E-03    -80.3665E-18    -39.3186E-06
          150512     1.06640E-03     1.06639E-03    -80.3665E-18     4.30338E-06
          150513     941.729E-06     940.476E-06    -80.3665E-18     48.5528E-06
          150514     839.154E-06     835.137E-06    -80.3665E-18     82.0181E-06
          150515     735.180E-06     725.953E-06    -80.3665E-18     116.111E-06
          150516     649.245E-06     633.867E-06    -80.3665E-18     140.471E-06
          150517     1.65841E-03     1.63620E-03    -15.1794E-15    -270.497E-06
          150518     1.50148E-03     1.48786E-03    -8.07397E-15    -201.791E-06
          150519     1.33851E-03     1.33193E-03    -80.3665E-18    -132.547E-06
          150520     1.20465E-03     1.20228E-03    -80.3665E-18    -75.5849E-06
          150521     1.06635E-03     1.06618E-03    -80.3665E-18    -19.0349E-06
          150522     953.137E-06     952.778E-06    -80.3665E-18     26.1635E-06
          150523     837.692E-06     834.710E-06    -80.3665E-18     70.6236E-06
          150524     743.062E-06     735.637E-06    -80.3665E-18     104.783E-06
          150525     648.730E-06     633.871E-06    -80.3665E-18     138.052E-06
          150526     1.68876E-03     1.65440E-03    -33.3871E-15    -338.931E-06
          150527     1.50712E-03     1.48575E-03    -9.85033E-15    -252.876E-06
          150528     1.35787E-03     1.34582E-03    -80.3665E-18    -180.471E-06
          150529     1.20378E-03     1.19879E-03    -80.3665E-18    -109.464E-06
          150530     1.07801E-03     1.07683E-03    -80.3665E-18    -50.5536E-06
          150531     949.376E-06     949.355E-06    -80.3665E-18     6.34681E-06
          150532     844.634E-06     843.016E-06    -80.3665E-18     52.2623E-06
          150533     739.282E-06     733.019E-06    -80.3665E-18     96.0287E-06
          150534     653.617E-06     640.549E-06    -80.3665E-18     130.047E-06
          150535     1.69713E-03     1.64808E-03     8.35733E-15    -405.078E-06
          150536     1.52960E-03     1.49690E-03     7.91324E-15    -314.602E-06
          150537     1.35722E-03     1.33819E-03    -80.3665E-18    -226.448E-06
          150538     1.21660E-03     1.20711E-03    -80.3665E-18    -151.587E-06
          150539     1.07258E-03     1.06958E-03    -80.3665E-18    -80.0661E-06
          150540     955.856E-06     955.640E-06    -80.3665E-18    -20.2796E-06
          150541     837.806E-06     837.036E-06    -80.3665E-18     35.8970E-06
          150542     742.471E-06     737.968E-06    -80.3665E-18     81.6428E-06
          150543     648.247E-06     636.310E-06    -80.3665E-18     123.829E-06
          150544     1.72470E-03     1.65587E-03    -21.8407E-15    -482.371E-06
          150545     1.53087E-03     1.48444E-03    -105.330E-15    -374.158E-06
          150546     1.37247E-03     1.34343E-03    -80.3665E-18    -280.853E-06
          150547     1.21046E-03     1.19510E-03    -80.3665E-18    -192.188E-06
          150548     1.07942E-03     1.07315E-03    -80.3665E-18    -116.233E-06
          150549     946.512E-06     945.419E-06    -80.3665E-18    -45.4906E-06
          150550     839.759E-06     839.639E-06    -80.3665E-18     14.1828E-06
          150551     733.359E-06     730.144E-06    -80.3665E-18     68.5947E-06
          150552     648.376E-06     638.377E-06    -80.3665E-18     113.429E-06
          150553     1.72933E-03     1.63698E-03     31.0059E-15    -557.568E-06
          150554     1.54998E-03     1.48538E-03     40.3318E-15    -442.819E-06
          150555     1.36695E-03     1.32553E-03    -80.3665E-18    -333.967E-06
          150556     1.21889E-03     1.19517E-03    -80.3665E-18    -239.324E-06
          150557     1.06845E-03     1.05765E-03    -80.3665E-18    -151.532E-06
          150558     948.047E-06     945.019E-06    -80.3665E-18    -75.7104E-06
          150559     827.231E-06     827.202E-06    -80.3665E-18    -6.91840E-06
          150560     731.559E-06     729.731E-06    -80.3665E-18     51.6897E-06
          150561     637.710E-06     629.266E-06    -80.3665E-18     103.432E-06
          150562     1.75479E-03     1.63307E-03    -532.543E-15    -642.147E-06
          150563     1.54711E-03     1.46070E-03    -117.320E-15    -509.790E-06
